date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:01	139153/139153	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20Aug%202021%2019:48:01%20GMT	https://swiftbusinesspay.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js	(from https://swiftbusinesspay.com/)
21:10:02	2578/2578	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20Aug%202021%2019:48:01%20GMT	https://swiftbusinesspay.com/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=3.4.2	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/elementor/assets/lib/share-link/share-link.minccfb.js	(from https://swiftbusinesspay.com/)
21:10:03	10863/10863	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20Aug%202021%2019:48:05%20GMT	https://swiftbusinesspay.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.8.1	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.mina288.js	(from https://swiftbusinesspay.com/)
21:10:04	36245/36245	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20Aug%202021%2019:47:57%20GMT	https://swiftbusinesspay.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.4.2	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/elementor/assets/js/frontend.minccfb.js	(from https://swiftbusinesspay.com/)
21:10:06	100440/100440	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Aug%202021%2005:42:45%20GMT	https://swiftbusinesspay.com/wp-content/plugins/bdthemes-element-pack/assets/js/element-pack-site.min.js?ver=5.9.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/bdthemes-element-pack/assets/js/element-pack-site.min9bd2.js	(from https://swiftbusinesspay.com/)
21:10:06	5522/5522	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Feb%202021%2017:24:18%20GMT	https://swiftbusinesspay.com/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.1.0	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min324d.js	(from https://swiftbusinesspay.com/)
21:10:07	6595/6595	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Feb%202021%2017:24:18%20GMT	https://swiftbusinesspay.com/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=3.1.0	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min324d.js	(from https://swiftbusinesspay.com/)
21:10:08	56632/56632	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Feb%202021%2017:24:18%20GMT	https://swiftbusinesspay.com/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.1.0	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/elementor-pro/assets/js/frontend.min324d.js	(from https://swiftbusinesspay.com/)
21:10:09	155458/155458	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Feb%202021%2017:24:18%20GMT	https://swiftbusinesspay.com/wp-content/plugins/elementor-pro/assets/js/preloaded-elements-handlers.min.js?ver=3.1.0	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/elementor-pro/assets/js/preloaded-elements-handlers.min324d.js	(from https://swiftbusinesspay.com/)
21:10:10	31942/31942	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20Aug%202021%2019:47:54%20GMT	https://swiftbusinesspay.com/wp-content/plugins/elementor/assets/js/preloaded-modules.min.js?ver=3.4.2	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/elementor/assets/js/preloaded-modules.minccfb.js	(from https://swiftbusinesspay.com/)
